time,count
3.1580982208251953,156
3.2208025455474854,157
3.283060312271118,157
3.350696325302124,157
3.4176974296569824,159
3.493736505508423,158
3.5573582649230957,159
3.635282278060913,160
3.7096760272979736,160
3.7862439155578613,161
3.847778558731079,163
3.908799648284912,162
3.9732091426849365,163
4.035810470581055,163
4.114542722702026,163
4.1888511180877686,164
4.255097150802612,165
4.334065675735474,164
4.412813663482666,164
4.490084171295166,165
4.566783905029297,166
4.641547203063965,166
4.707027435302734,167
4.786928653717041,167
4.86427640914917,167
4.940749645233154,165
5.020097970962524,166
5.097578048706055,167
5.159418106079102,167
5.225406169891357,167
5.300812244415283,166
5.381213903427124,167
5.454558610916138,167
5.516354322433472,168
5.5819642543792725,168
5.66307806968689,168
5.735163927078247,171
5.795382261276245,170
5.862824201583862,169
5.94352912902832,170
6.022997856140137,171
6.094601631164551,170
6.16083836555481,169
6.244696140289307,171
6.310741662979126,169
6.375450849533081,171
6.44021463394165,171
6.501255989074707,171
6.568045616149902,173
6.642026424407959,174
6.7026591300964355,175
6.76818060874939,174
6.844522953033447,175
6.92130184173584,175
6.980777740478516,176
7.075923204421997,189
7.1387012004852295,190
7.205425024032593,190
7.2815024852752686,191
7.344655513763428,190
7.409681081771851,190
7.485674619674683,192
7.5486931800842285,192
7.615844249725342,192
7.692319393157959,192
7.766024589538574,192
7.827972650527954,191
7.894865989685059,191
7.9708945751190186,193
8.044753074645996,192
8.109421014785767,192
8.191068649291992,195
8.264937400817871,196
8.344057083129883,197
8.421374797821045,197
8.485069513320923,197
8.547135829925537,198
8.615071296691895,198
8.684043407440186,197
8.751208782196045,200
8.832999229431152,198
8.907981634140015,199
8.982624053955078,198
9.047418117523193,201
9.127113103866577,201
9.203661680221558,201
9.281444787979126,198
9.344066143035889,197
9.407841444015503,197
9.488449335098267,198
9.564967632293701,198
9.643980979919434,198
9.721588850021362,156
9.797135829925537,157
9.864850282669067,157
9.9405357837677,157
10.015831708908081,156
10.079562187194824,157
10.158249139785767,157
10.234820365905762,157
